theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,confirm,1.0,-82.63,-98.63,2.8,1,85.43,82.63,145,0.007,1.935,0.098,-0.096,0,-0.096,1,-0.051,0,-1,,0,-1,,0,-1,,0,-1,,0.1226,40.78,0,88032
80.0,0,-1,fallback,1.0,8.47,-7.53,52.25,23,43.78,0.0,32,0.719,4.682,0.225,0.3179,0,0.3256,15,0.6124,0,-1,,0,-1,,0,-1,,0,-1,,0.1665,85.41,0,88177
80.0,0,1,confirm,1.0,19.79,3.79,62.19,78,42.4,28.27,190,0.411,1.115,0.093,-0.206,0,-0.206,78,0.2082,0,-1,,0,-1,,0,-1,,0,-1,,0.4794,44.01,0,88209
80.0,0,-1,confirm,1.0,36.68,20.68,77.58,368,40.91,43.73,414,0.889,0.897,0.058,0.1295,0,0.2159,1,0.5647,1,402,59.25,1,402,59.25,1,402,59.25,1,409,45.14,0.1292,42.14,0,88399
80.0,0,1,confirm,1.0,46.72,30.72,90.61,274,43.89,24.07,314,0.873,0.747,0.028,0.088,0,0.1327,116,0.732,0,-1,,0,-1,,0,-1,,0,-1,,0.2788,41.23,0,88813
80.0,0,-1,confirm,1.0,29.59,13.59,71.87,514,42.28,5.64,549,0.936,2.35,0.083,0.1421,0,0.1752,513,0.6682,0,-1,,0,-1,,0,-1,,0,-1,,0.262,43.5,0,89127
80.0,0,1,confirm,1.0,-52.3,-68.3,28.27,507,80.57,52.3,882,0.575,1.862,0.043,-0.0959,1,0.1563,859,0.5873,0,-1,,0,-1,,0,-1,,0,-1,,0.4455,42.58,0,89676
80.0,0,-1,fallback,1.0,-24.15,-40.15,17.05,5,41.2,24.15,44,0.114,1.306,0.059,-0.0561,1,-0.0411,24,0.4895,0,-1,,0,-1,,0,-1,,0,-1,,0.1724,80.34,1,90558
80.0,0,1,confirm,1.0,-77.96,-93.96,2.83,1,80.79,77.96,365,0.003,3.256,0.025,0.0448,1,0.1854,69,0.6987,1,275,-59.53,1,275,-59.53,0,-1,,0,-1,,0.488,41.28,1,90602
80.0,0,-1,fallback,1.0,-21.43,-37.43,18.57,6,40.0,21.43,30,0.2,5.244,0.124,0.3361,1,0.3592,1,0.7338,0,-1,,0,-1,,0,-1,,0,-1,,0.1389,80.77,1,90967
80.0,0,1,confirm,1.0,-74.13,-90.13,9.98,3,84.11,74.13,271,0.011,4.987,0.079,-0.2772,1,-0.2548,166,0.1124,0,-1,,0,-1,,0,-1,,0,-1,,0.6344,40.07,1,90997
80.0,0,-1,fallback,1.0,40.21,24.21,86.17,139,45.96,24.41,152,0.914,1.392,0.12,0.2979,1,0.3409,5,0.363,0,-1,,0,-1,,0,-1,,0,-1,,0.5039,84.02,1,91268
80.0,0,1,confirm,1.0,17.3,1.3,57.68,176,40.37,31.72,235,0.749,0.479,0.033,-0.1815,1,-0.1292,148,0.1547,0,-1,,0,-1,,0,-1,,0,-1,,0.2498,46.36,1,91420
80.0,0,-1,confirm,1.0,-43.18,-59.18,38.87,128,82.05,43.18,455,0.281,0.486,0.053,0.1836,1,0.1886,129,0.4484,0,-1,,0,-1,,0,-1,,0,-1,,0.0859,40.14,1,91655
80.0,0,1,fallback,1.0,-8.6,-24.6,31.53,13,40.13,8.6,93,0.14,1.806,0.071,-0.033,1,0.0279,47,0.3952,0,-1,,0,-1,,0,-1,,0,-1,,0.3737,82.37,1,92110
80.0,0,-1,confirm,1.0,120.5,104.5,160.67,886,40.17,12.91,898,0.987,2.511,0.152,0.248,1,0.2517,896,0.5618,0,-1,,0,-1,,0,-1,,0,-1,,0.0926,40.01,1,92203
