theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,-1,confirm,1.0,-1.9,-17.9,40.25,2628,42.16,69.75,3628,0.724,1.437,0.062,0.1847,14,0.4002,1924,0.7423,1,3488,15.4,1,3488,15.4,1,3488,15.4,1,3539,6.14,0.1531,40.5,14,137109
80.0,1,1,confirm,1.0,13.61,-2.39,53.88,575,40.28,-0.0,765,0.752,0.908,0.137,0.1894,15,0.1903,576,0.5685,0,-1,,0,-1,,0,-1,,0,-1,,0.7193,42.33,15,140737
80.0,1,-1,confirm,1.0,13.07,-2.93,53.63,310,40.56,0.0,466,0.665,1.043,0.203,0.1612,15,0.1698,413,0.7722,0,-1,,0,-1,,0,-1,,0,-1,,0.2677,40.06,15,141502
80.0,1,1,confirm,1.0,-76.68,-92.68,3.65,379,80.33,76.68,3859,0.098,1.901,0.123,0.2243,15,0.3168,1990,0.8243,1,860,-29.41,1,860,-29.41,1,860,-29.41,1,1192,-41.46,0.0758,40.78,15,141968
80.0,1,-1,fallback,1.0,-22.81,-38.81,18.09,366,40.9,22.81,507,0.722,0.669,0.135,0.174,16,0.1962,289,0.5786,0,-1,,0,-1,,0,-1,,0,-1,,0.2622,80.3,16,145827
80.0,1,1,confirm,1.0,-52.42,-68.42,32.02,593,84.44,52.42,2243,0.264,2.401,0.119,0.2284,16,0.4126,1948,0.7935,1,1569,-36.1,1,1569,-36.1,1,1569,-36.1,0,-1,,0.1073,40.97,16,146334
80.0,1,-1,fallback,1.0,21.83,5.83,66.78,1768,44.95,3.78,2094,0.844,1.343,0.07,0.3009,17,0.3209,1803,0.7585,1,2094,21.83,1,2094,21.83,1,2094,21.83,1,2094,21.83,0.2159,84.17,17,148577
80.0,1,1,confirm,1.0,20.79,4.79,62.65,95,41.86,-0.0,810,0.117,1.716,0.244,0.3136,17,0.4495,435,0.8188,1,701,27.68,1,701,27.68,1,701,27.68,0,-1,,0.5965,45.25,17,150671
80.0,1,-1,confirm,1.0,-77.07,-93.07,35.56,611,112.64,77.07,1480,0.413,0.85,0.132,0.1527,18,0.3409,421,0.7513,1,674,33.06,1,674,33.06,1,674,33.06,1,1008,-2.97,0.2678,41.6,18,151481
80.0,1,1,fallback,1.0,-6.83,-22.83,34.67,75,41.49,6.83,145,0.517,2.413,0.281,0.322,18,0.4325,0,0.8312,0,-1,,0,-1,,0,-1,,0,-1,,0.5118,113.04,18,152961
80.0,1,-1,confirm,1.0,-51.08,-67.08,31.24,2353,82.32,51.08,3433,0.685,0.715,0.122,0.1852,19,0.2685,1891,0.8284,1,2532,7.37,1,2532,7.37,1,2532,7.37,1,2599,-18.17,0.1618,41.35,18,153106
80.0,1,1,fallback,1.0,-38.35,-54.35,1.85,52,40.2,38.35,334,0.156,2.097,0.099,0.2545,19,0.2675,8,0.5136,0,-1,,0,-1,,0,-1,,0,-1,,0.2667,82.58,19,156539
80.0,1,-1,confirm,1.0,60.72,44.72,101.84,2036,41.12,10.24,2276,0.895,1.068,0.215,0.3325,20,0.4006,1609,0.885,0,-1,,0,-1,,0,-1,,0,-1,,0.4644,40.19,19,156873
80.0,1,1,confirm,1.0,16.76,0.76,57.31,3509,40.55,51.83,4004,0.876,0.999,0.122,-0.2706,21,0.0614,1466,0.7949,1,1480,-7.24,0,-1,,0,-1,,0,-1,,0.5038,41.54,20,159149
80.0,1,-1,confirm,1.0,36.22,20.22,76.3,1332,40.08,10.93,1442,0.924,2.615,0.175,0.1811,21,0.56,224,0.9518,0,-1,,0,-1,,0,-1,,0,-1,,0.2371,40.32,21,163153
80.0,1,1,confirm,1.0,29.5,13.5,73.2,5116,43.7,30.6,5506,0.929,0.976,0.078,0.0546,23,0.3744,4456,0.902,1,2749,-8.83,1,2749,-8.83,1,2749,-8.83,1,2854,-12.62,0.3884,40.39,21,164595
80.0,1,-1,confirm,1.0,-50.88,-66.88,30.35,298,81.23,50.88,2439,0.122,1.127,0.358,0.3028,23,0.36,229,0.8527,1,421,18.36,1,421,18.36,1,421,18.36,1,707,21.18,0.174,43.38,23,170101
80.0,1,1,fallback,1.0,-38.27,-54.27,2.74,17,41.01,38.27,1115,0.015,1.427,0.168,0.1236,23,0.1236,17,0.9604,1,49,-6.01,1,49,-6.01,0,-1,,1,281,-10.56,0.0269,81.48,23,172540
80.0,1,-1,confirm,1.0,54.34,38.34,94.56,3038,40.22,50.92,3612,0.841,1.798,0.254,0.3809,1,0.418,3160,0.7062,1,98,-2.42,0,-1,,0,-1,,0,-1,,0.7973,40.99,0,173655
80.0,1,1,confirm,1.0,-1.26,-17.26,40.75,966,42.02,25.81,1451,0.666,3.102,0.101,0.2328,1,0.3998,1360,0.92,1,851,-1.26,1,851,-1.26,1,851,-1.26,0,-1,,0.5832,40.6,1,177267
