theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,confirm,1.0,68.7,52.7,110.44,1795,41.74,32.18,1888,0.951,0.557,0.112,0.1734,10,0.2567,1436,0.8238,1,1562,83.49,1,1562,83.49,1,1562,83.49,0,-1,,0.2568,40.16,9,120782
80.0,1,-1,confirm,1.0,11.23,-4.77,53.55,427,42.32,3.45,530,0.806,1.428,0.147,-0.0284,10,-0.0267,423,0.5969,0,-1,,0,-1,,0,-1,,0,-1,,0.2234,41.29,10,122670
80.0,1,1,confirm,1.0,-60.53,-76.53,19.02,1240,79.55,60.53,2116,0.586,1.113,0.041,-0.1912,10,0.1244,99,0.5173,1,374,11.24,1,374,11.24,0,-1,,1,553,-12.11,0.0016,42.55,10,123200
80.0,1,-1,confirm,1.0,5.22,-10.78,45.24,432,40.02,20.88,576,0.75,1.299,0.102,0.07,10,0.2785,10,0.7238,1,562,15.66,1,562,15.66,1,562,15.66,0,-1,,0.2625,79.4,10,125316
80.0,1,1,confirm,1.0,-48.74,-64.74,32.2,457,80.95,48.74,765,0.597,0.95,0.119,-0.0198,11,0.0743,33,0.7031,1,143,-16.54,0,-1,,0,-1,,0,-1,,0.0556,40.2,10,125892
80.0,1,-1,fallback,1.0,-27.11,-43.11,13.12,255,40.23,27.11,358,0.712,0.732,0.176,0.1568,11,0.1661,245,0.5176,0,-1,,0,-1,,0,-1,,0,-1,,0.3752,80.69,11,126657
80.0,1,1,confirm,1.0,65.42,49.42,108.16,885,42.74,16.57,938,0.943,2.634,0.121,0.1665,11,0.2007,493,0.7418,1,814,74.15,1,814,74.15,1,814,74.15,0,-1,,0.0213,40.29,11,127015
80.0,1,-1,confirm,1.0,33.8,17.8,74.53,608,40.73,7.8,928,0.655,1.219,0.122,0.0847,11,0.2188,807,0.768,0,-1,,0,-1,,0,-1,,0,-1,,0.6247,42.29,11,127953
80.0,1,1,confirm,1.0,53.04,37.04,93.91,1016,40.87,-0.0,1071,0.949,1.307,0.112,-0.0717,12,0.1166,512,0.7662,1,227,40.0,1,640,42.61,0,-1,,1,1029,82.61,0.3719,41.04,11,128881
80.0,1,-1,confirm,1.0,8.65,-7.35,49.3,469,40.65,15.57,647,0.725,0.64,0.126,0.143,12,0.2436,110,0.6747,1,600,21.62,1,600,21.62,1,600,21.62,0,-1,,0.12,40.49,12,129952
80.0,1,1,confirm,1.0,87.44,71.44,128.13,455,40.69,13.85,615,0.74,2.878,0.23,0.0662,12,0.117,424,0.6988,1,73,7.79,1,479,109.08,0,-1,,0,-1,,0.207,40.86,12,130599
80.0,1,-1,confirm,1.0,-72.09,-88.09,9.44,11,81.53,72.09,305,0.036,1.256,0.077,0.0538,12,0.0825,6,0.5705,1,115,-27.46,0,-1,,0,-1,,0,-1,,0.062,40.17,12,131214
80.0,1,1,fallback,1.0,-5.96,-21.96,34.94,99,40.9,5.96,215,0.46,0.912,0.108,-0.0091,12,0.0628,1,0.3786,1,51,10.22,0,-1,,0,-1,,0,-1,,0.4839,81.61,12,131519
80.0,1,-1,confirm,1.0,-76.73,-92.73,4.26,31,81.0,76.73,776,0.04,0.734,0.042,-0.0043,12,0.015,713,0.4675,0,-1,,0,-1,,0,-1,,0,-1,,0.1245,40.76,12,131734
80.0,1,1,fallback,1.0,-38.07,-54.07,4.23,9,42.3,38.07,522,0.017,1.045,0.061,0.0673,12,0.132,198,0.6283,0,-1,,0,-1,,0,-1,,0,-1,,0.2708,81.03,12,132510
80.0,1,-1,confirm,1.0,78.99,62.99,119.76,1677,40.77,37.37,1806,0.929,0.837,0.176,0.0637,13,0.1714,1534,0.772,1,364,-24.63,0,-1,,0,-1,,0,-1,,0.5484,42.29,12,133032
80.0,1,1,confirm,1.0,89.89,73.89,130.98,704,41.09,11.99,936,0.752,2.163,0.105,0.0595,13,0.0864,656,0.5783,0,-1,,0,-1,,0,-1,,0,-1,,0.5701,41.26,13,134838
80.0,1,-1,confirm,1.0,7.64,-8.36,49.21,655,41.57,16.12,916,0.715,1.211,0.049,-0.1957,13,-0.025,320,0.45,0,-1,,0,-1,,0,-1,,0,-1,,0.2598,40.56,13,135774
80.0,1,1,confirm,1.0,-2.55,-18.55,38.21,212,40.76,7.64,353,0.601,1.001,0.059,0.0847,14,0.2522,32,0.5427,1,327,14.43,1,327,14.43,1,327,14.43,0,-1,,0.372,41.78,13,136690
