theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,fallback,0.1,-13.28,-29.28,27.89,6795,41.17,13.28,9877,0.688,2.386,0.25,0.9769,23,1.0,2316,1.0,-1.0,4598,1,544,14.61,1,544,14.61,1,544,14.61,1,603,11.29,1,641,14.61,1,659,14.61,1,641,14.61,1,659,14.61,1,822,13.95,1.0,81.68,22,3416545
80.0,0,-1,confirm,0.1,-81.12,-97.12,-0.0,0,81.12,81.12,30274,0.0,0.625,0.522,0.9592,23,1.0,7171,1.0,-1.0,1469,1,1469,-21.28,1,1469,-21.28,1,1469,-21.28,1,1469,-21.28,1,1469,-21.28,1,1469,-21.28,1,1469,-21.28,1,1469,-21.28,1,1469,-21.28,0.9053,41.06,23,3426422
80.0,0,1,fallback,0.1,-9.23,-25.23,31.66,7447,40.89,9.23,15796,0.471,0.0,0.143,-0.1987,0,1.0,0,1.0,-1.0,8230,1,8,2.64,1,8,2.64,1,8,2.64,1,8,2.64,1,8,2.64,1,8,2.64,1,8,2.64,1,8,2.64,1,8,2.64,0.9224,81.12,0,3456696
80.0,0,-1,confirm,0.1,-58.76,-74.76,21.79,2073,80.54,58.76,42880,0.048,0.43,0.053,-0.2005,0,1.0,5881,1.0,-1.0,4958,1,1604,17.83,1,1604,17.83,1,1604,17.83,1,1608,17.17,1,1608,17.17,1,1608,17.17,1,1608,17.17,1,1608,17.17,1,1608,17.17,0.0,40.77,0,3472492
80.0,0,1,fallback,0.1,15.75,-0.25,58.41,14926,42.66,32.16,19459,0.767,0.122,0.341,-0.0158,2,1.0,3829,1.0,-1.0,6911,1,339,-3.28,1,339,-3.28,1,1758,-21.66,1,339,-3.28,1,391,-3.28,1,409,-3.28,1,391,-3.28,1,409,-3.28,1,426,-3.28,1.0,80.72,1,3515372
80.0,0,-1,confirm,0.1,18.35,2.35,58.32,12504,39.97,26.21,17595,0.711,0.699,0.253,0.9066,2,1.0,5198,1.0,-1.0,5487,1,1427,-0.66,1,1427,-0.66,1,1427,-0.66,1,1427,-0.66,1,1427,-0.66,1,1427,-0.66,1,1427,-0.66,1,1427,-0.66,1,1427,-0.66,1.0,42.41,2,3534831
100.0,1,1,fallback,0.1,42.42,26.42,95.09,8976,52.68,8.21,20268,0.443,6.415,0.189,-0.1816,0,1.0,15186,1.0,-1.0,16575,1,100,-2.74,1,100,-2.74,1,100,-2.74,1,100,-2.74,1,1104,13.68,1,1104,13.68,1,1104,13.68,1,1104,13.68,1,1104,13.68,0.1225,102.29,0,8500
100.0,1,-1,confirm,0.1,53.14,37.14,102.87,8828,49.73,1.36,14160,0.623,0.379,0.434,0.6507,1,0.9986,12875,1.0,-1.0,10181,1,1375,54.5,1,1375,54.5,1,1375,54.5,1,1436,54.5,1,1472,51.77,1,1501,51.77,1,50,1.36,1,50,1.36,1,50,1.36,0.1729,52.18,0,28768
100.0,1,1,confirm,0.1,2.74,-13.26,53.42,7065,50.68,6.85,12332,0.573,0.016,0.581,0.9798,1,1.0,2400,1.0,-1.0,7803,1,770,-4.79,1,770,-4.79,1,770,-4.79,1,965,3.42,1,965,3.42,1,968,2.74,1,965,3.42,1,968,2.74,1,968,2.74,1.0,50.25,1,42928
100.0,1,-1,confirm,0.1,38.34,22.34,89.01,5378,50.67,8.22,5618,0.957,3.295,0.261,0.5668,1,0.9961,1092,1.0,-0.9986,3510,1,2651,25.33,1,2651,25.33,1,2651,25.33,1,2662,25.33,1,3073,19.17,1,3073,19.17,1,0,-0.0,1,0,-0.0,1,0,-0.0,1.0,50.41,1,55260
100.0,1,1,confirm,0.1,9.62,-6.38,60.49,427,50.86,1.37,2948,0.145,0.001,0.327,0.6061,1,0.7047,103,1.0,-0.7809,635,1,457,58.42,1,457,58.42,1,457,58.42,1,458,57.74,1,495,49.49,1,495,49.49,1,495,49.49,1,495,49.49,1,495,49.49,0.9525,51.12,1,60878
100.0,1,-1,confirm,0.1,37.08,21.08,92.01,6392,54.93,2.75,10032,0.637,2.567,0.157,0.2692,1,0.9946,9680,1.0,-0.9201,7991,1,57,1.37,1,57,1.37,1,57,1.37,1,86,1.37,1,113,3.43,1,187,-2.75,1,113,3.43,1,187,-2.75,1,793,7.55,1.0,50.56,1,63826
100.0,1,1,confirm,0.1,-77.88,-93.88,22.74,7128,100.63,77.88,13797,0.517,3.09,0.122,0.2169,2,0.9483,6535,1.0,-0.9452,8699,1,1013,-8.27,1,1013,-8.27,1,1013,-8.27,1,1160,-8.27,1,1160,-8.27,1,1160,-8.27,1,1160,-8.27,1,1160,-8.27,1,1262,-19.3,0.1757,55.44,2,73858
