date,wind_mwh,solar_mwh
2024-07-14,1160938.0,692772.0
2024-07-15,1222260.0,757784.0
2024-07-16,973373.0,775661.0
2024-07-17,790396.0,688853.0
2024-07-18,598082.0,671356.0
2024-07-19,716920.0,724795.0
2024-07-20,603552.0,692192.0
2024-07-21,428554.0,665848.0
2024-07-22,336777.0,607360.0
2024-07-23,303278.0,644059.0
2024-07-24,517604.0,651327.0
2024-07-25,807746.0,662270.0
2024-07-26,1025252.0,691888.0
2024-07-27,1182707.0,734777.0
2024-07-28,1466598.0,707449.0
2024-07-29,1289209.0,713865.0
2024-07-30,1438696.0,769289.0
2024-07-31,1367999.0,763788.0
2024-08-01,928741.0,743593.0
2024-08-02,691524.0,679917.0
2024-08-03,626348.0,732494.0
2024-08-04,690946.0,704496.0
2024-08-05,938569.0,683155.0
2024-08-06,974401.0,715190.0
2024-08-07,802820.0,710851.0
2024-08-08,1145133.0,680796.0
2024-08-09,1054695.0,709505.0
2024-08-10,719674.0,744622.0
2024-08-11,972867.0,746174.0
2024-08-12,955266.0,755552.0
2024-08-13,1090791.0,772985.0
2024-08-14,1280911.0,788839.0
2024-08-15,1059988.0,766332.0
2024-08-16,1016013.0,796170.0
2024-08-17,932670.0,753863.0
2024-08-18,981737.0,771461.0
2024-08-19,898338.0,783541.0
2024-08-20,961829.0,796754.0
2024-08-21,1151531.0,778501.0
2024-08-22,1258870.0,751669.0
2024-08-23,1283412.0,766487.0
2024-08-24,1306831.0,775321.0
2024-08-25,1139382.0,780673.0
2024-08-26,791038.0,734566.0
2024-08-27,711345.0,729881.0
2024-08-28,896308.0,701112.0
2024-08-29,1038319.0,698888.0
2024-08-30,651534.0,650813.0
2024-08-31,556329.0,664194.0
2024-09-01,800612.0,647695.0
2024-09-02,869678.0,618108.0
2024-09-03,919631.0,619084.0
2024-09-04,744498.0,613826.0
2024-09-05,714674.0,601071.0
2024-09-06,788359.0,606390.0
2024-09-07,775023.0,667671.0
2024-09-08,878898.0,703358.0
2024-09-09,1005533.0,729680.0
2024-09-10,956507.0,715677.0
2024-09-11,904339.0,633450.0
2024-09-12,1166725.0,647631.0
2024-09-13,1143640.0,656336.0
2024-09-14,1041541.0,637852.0
2024-09-15,1077362.0,627702.0
2024-09-16,1115815.0,598153.0
2024-09-17,1384711.0,628302.0
2024-09-18,1408185.0,667160.0
2024-09-19,1245801.0,685549.0
2024-09-20,1084659.0,690187.0
2024-09-21,1324709.0,692828.0
2024-09-22,1093270.0,610454.0
2024-09-23,574484.0,598658.0
2024-09-24,556773.0,619839.0
2024-09-25,559981.0,596445.0
2024-09-26,721333.0,614271.0
2024-09-27,770939.0,605619.0
2024-09-28,774544.0,654931.0
2024-09-29,801714.0,642135.0
2024-09-30,914439.0,622240.0
2024-10-01,1030622.0,620777.0
2024-10-02,1106746.0,674180.0
2024-10-03,1206838.0,658008.0
2024-10-04,1022330.0,612651.0
2024-10-05,1349984.0,636709.0
2024-10-06,1153790.0,624798.0
2024-10-07,621340.0,636995.0
2024-10-08,637174.0,655613.0
2024-10-09,886242.0,617066.0
2024-10-10,957828.0,653644.0
2024-10-11,1220779.0,654193.0
2024-10-12,1076389.0,672724.0
2024-10-13,1391751.0,659063.0
2024-10-14,969262.0,656703.0
2024-10-15,1296740.0,632912.0
2024-10-16,1327196.0,605270.0
2024-10-17,1784379.0,620111.0
2024-10-18,1839960.0,559005.0
2024-10-19,1412833.0,589639.0
2024-10-20,1525017.0,634185.0
2024-10-21,1681697.0,616004.0
2024-10-22,1204221.0,624948.0
2024-10-23,1059154.0,634101.0
2024-10-24,1520539.0,603276.0
2024-10-25,1122470.0,620347.0
2024-10-26,976413.0,601266.0
2024-10-27,1266688.0,523252.0
2024-10-28,1939935.0,468636.0
2024-10-29,2065492.0,462260.0
2024-10-30,1823411.0,474143.0
2024-10-31,1277794.0,490195.0
2024-11-01,1165415.0,453459.0
2024-11-02,1320086.0,330746.0
2024-11-03,1573175.0,332435.0
2024-11-04,1569479.0,408217.0
2024-11-05,1302205.0,433728.0
2024-11-06,1114057.0,434478.0
2024-11-07,1024660.0,392116.0
2024-11-08,1176880.0,417718.0
2024-11-09,1291349.0,511071.0
2024-11-10,918317.0,450627.0
2024-11-11,1044469.0,500151.0
2024-11-12,1738001.0,503447.0
2024-11-13,1523677.0,484748.0
2024-11-14,1107431.0,460724.0
2024-11-15,1412127.0,486492.0
2024-11-16,1839154.0,456934.0
2024-11-17,1254216.0,407641.0
2024-11-18,1786014.0,369339.0
2024-11-19,1681972.0,448623.0
2024-11-20,1452855.0,458896.0
2024-11-21,1176998.0,537132.0
2024-11-22,940099.0,519050.0
2024-11-23,1440802.0,465941.0
2024-11-24,1673172.0,459191.0
2024-11-25,1615390.0,370477.0
2024-11-26,1225789.0,386438.0
2024-11-27,1400612.0,352460.0
2024-11-28,1168816.0,344564.0
2024-11-29,1201804.0,407347.0
2024-11-30,1087968.0,469589.0
2024-12-01,649057.0,490999.0
2024-12-02,770408.0,489211.0
2024-12-03,1223236.0,449677.0
2024-12-04,1458592.0,408457.0
2024-12-05,1178877.0,416579.0
2024-12-06,1033347.0,461584.0
2024-12-07,1376319.0,408068.0
2024-12-08,1721169.0,368230.0
2024-12-09,1661933.0,355964.0
2024-12-10,1412422.0,335389.0
2024-12-11,1400719.0,362259.0
2024-12-12,1386709.0,403600.0
2024-12-13,1784123.0,369330.0
2024-12-14,1358595.0,362463.0
2024-12-15,1589549.0,334745.0
2024-12-16,1552276.0,334432.0
2024-12-17,1171975.0,372946.0
2024-12-18,1234959.0,365456.0
2024-12-19,1346662.0,432476.0
2024-12-20,1144962.0,451524.0
2024-12-21,1074490.0,505159.0
2024-12-22,1716433.0,407828.0
2024-12-23,1363192.0,392060.0
2024-12-24,772060.0,309214.0
2024-12-25,767722.0,303214.0
2024-12-26,911124.0,274342.0
2024-12-27,1234917.0,307080.0
2024-12-28,1250882.0,291428.0
2024-12-29,1119029.0,358275.0
2024-12-30,1696108.0,426025.0
2024-12-31,1599011.0,448048.0
2025-01-01,1212814.0,479915.0
2025-01-02,1028037.0,465632.0
2025-01-03,1195230.0,399700.0
2025-01-04,1515587.0,388143.0
2025-01-05,1558161.0,340747.0
2025-01-06,977583.0,414317.0
2025-01-07,869218.0,453751.0
2025-01-08,1070210.0,432498.0
2025-01-09,1309632.0,419439.0
2025-01-10,1461407.0,352627.0
2025-01-11,1730819.0,436338.0
2025-01-12,1707882.0,490122.0
2025-01-13,1231211.0,500364.0
2025-01-14,1055171.0,487892.0
2025-01-15,1064045.0,489903.0
2025-01-16,1335193.0,494622.0
2025-01-17,2132095.0,432885.0
2025-01-18,1936041.0,398486.0
2025-01-19,1385856.0,496365.0
2025-01-20,1387320.0,510497.0
2025-01-21,1426953.0,453877.0
2025-01-22,1672679.0,505625.0
2025-01-23,1253201.0,510574.0
2025-01-24,1647271.0,563766.0
2025-01-25,1850928.0,444766.0
2025-01-26,1132835.0,393086.0
2025-01-27,1461871.0,437234.0
2025-01-28,1164805.0,474265.0
2025-01-29,978909.0,449973.0
2025-01-30,1271515.0,478266.0
2025-01-31,1621499.0,469506.0
2025-02-01,1867881.0,536991.0
2025-02-02,1417951.0,531672.0
2025-02-03,1710885.0,525938.0
2025-02-04,1359211.0,503107.0
2025-02-05,1239917.0,421637.0
2025-02-06,1560036.0,498439.0
2025-02-07,1319072.0,509885.0
2025-02-08,1671663.0,470557.0
2025-02-09,941849.0,480995.0
2025-02-10,806644.0,445746.0
2025-02-11,1084247.0,336415.0
2025-02-12,1117638.0,325647.0
2025-02-13,1385840.0,350706.0
2025-02-14,1850318.0,510015.0
2025-02-15,1650113.0,395949.0
2025-02-16,1600327.0,553313.0
2025-02-17,1736616.0,666182.0
2025-02-18,1521360.0,521392.0
2025-02-19,1245426.0,448859.0
2025-02-20,975800.0,649504.0
2025-02-21,1011425.0,669478.0
2025-02-22,1238291.0,641123.0
2025-02-23,1281353.0,636555.0
2025-02-24,1468663.0,635917.0
2025-02-25,1253712.0,753007.0
2025-02-26,1701229.0,655377.0
2025-02-27,1518169.0,665615.0
2025-02-28,1551649.0,781978.0
2025-03-01,1261853.0,773159.0
2025-03-02,1671650.0,702818.0
2025-03-03,1915592.0,590792.0
2025-03-04,1961755.0,551378.0
2025-03-05,1675810.0,516356.0
2025-03-06,1826941.0,635595.0
2025-03-07,1513512.0,639685.0
2025-03-08,1552048.0,653632.0
2025-03-09,1187698.0,660988.0
2025-03-10,1477646.0,746755.0
2025-03-11,1713424.0,773264.0
2025-03-12,1286452.0,733596.0
2025-03-13,1492636.0,666623.0
2025-03-14,2011504.0,578669.0
2025-03-15,1958452.0,544360.0
2025-03-16,1394185.0,629202.0
2025-03-17,1933129.0,679615.0
2025-03-18,2048061.0,744450.0
2025-03-19,1931809.0,691251.0
2025-03-20,1470824.0,754953.0
2025-03-21,1924298.0,841443.0
2025-03-22,1794364.0,768438.0
2025-03-23,1848136.0,660672.0
2025-03-24,1493049.0,754320.0
2025-03-25,930115.0,866213.0
2025-03-26,1201540.0,804357.0
2025-03-27,1565052.0,711519.0
2025-03-28,1692241.0,640801.0
2025-03-29,1725700.0,612784.0
2025-03-30,1441880.0,582615.0
2025-03-31,1142153.0,695987.0
2025-04-01,1991976.0,657709.0
2025-04-02,1783871.0,599179.0
2025-04-03,1531002.0,592546.0
2025-04-04,1220506.0,596468.0
2025-04-05,1776004.0,545936.0
2025-04-06,1074578.0,682576.0
2025-04-07,1040707.0,793883.0
2025-04-08,1365847.0,945718.0
2025-04-09,1478634.0,909676.0
2025-04-10,1130020.0,902984.0
2025-04-11,1098990.0,883454.0
2025-04-12,1751192.0,816244.0
2025-04-13,1816013.0,847271.0
2025-04-14,1831748.0,857826.0
2025-04-15,1724483.0,850331.0
2025-04-16,1840567.0,935499.0
2025-04-17,2068737.0,868467.0
2025-04-18,1932172.0,780882.0
2025-04-19,1405880.0,718563.0
2025-04-20,1446517.0,828514.0
2025-04-21,1388093.0,911080.0
2025-04-22,1458637.0,891787.0
2025-04-23,1280934.0,867974.0
2025-04-24,1175783.0,815980.0
2025-04-25,1300755.0,741784.0
2025-04-26,1514868.0,787829.0
2025-04-27,1790033.0,834439.0
2025-04-28,2051278.0,873191.0
2025-04-29,1641347.0,813882.0
2025-04-30,1166236.0,842528.0
2025-05-01,1047620.0,835450.0
2025-05-02,1293437.0,814764.0
2025-05-03,851959.0,842109.0
2025-05-04,1370227.0,755356.0
2025-05-05,1344343.0,666100.0
2025-05-06,968631.0,760054.0
2025-05-07,759416.0,887078.0
2025-05-08,778984.0,918227.0
2025-05-09,702694.0,952775.0
2025-05-10,942941.0,958304.0
2025-05-11,1022859.0,895708.0
2025-05-12,1255825.0,852164.0
2025-05-13,1660695.0,862592.0
2025-05-14,1613321.0,890415.0
2025-05-15,1660692.0,918976.0
2025-05-16,1619808.0,892508.0
2025-05-17,1668632.0,833665.0
2025-05-18,1788491.0,814786.0
2025-05-19,1916119.0,894801.0
2025-05-20,1536265.0,951119.0
2025-05-21,1480145.0,909237.0
2025-05-22,1438317.0,972178.0
2025-05-23,1371872.0,1013365.0
2025-05-24,1387185.0,934332.0
2025-05-25,1379384.0,843053.0
2025-05-26,1256921.0,817055.0
2025-05-27,984838.0,806567.0
2025-05-28,668971.0,763299.0
2025-05-29,782359.0,813771.0
2025-05-30,802347.0,864759.0
2025-05-31,804756.0,994011.0
2025-06-01,854073.0,923278.0
2025-06-02,1536930.0,965302.0
2025-06-03,1665286.0,928180.0
2025-06-04,910764.0,846228.0
2025-06-05,758426.0,819027.0
2025-06-06,678970.0,962310.0
2025-06-07,902799.0,994575.0
2025-06-08,1255074.0,968090.0
2025-06-09,1138324.0,992323.0
2025-06-10,916649.0,894325.0
2025-06-11,1138878.0,937377.0
2025-06-12,1084029.0,908954.0
2025-06-13,1147559.0,949392.0
2025-06-14,1129766.0,879338.0
2025-06-15,964178.0,881838.0
2025-06-16,921578.0,966650.0
2025-06-17,1206130.0,959679.0
2025-06-18,1063852.0,986430.0
2025-06-19,1247352.0,1012945.0
2025-06-20,2065324.0,1005492.0
2025-06-21,2202058.0,1007706.0
2025-06-22,2119734.0,995853.0
2025-06-23,1629299.0,1039362.0
2025-06-24,1113661.0,1015838.0
2025-06-25,1216179.0,978109.0
2025-06-26,1065200.0,981475.0
2025-06-27,994879.0,969602.0
2025-06-28,1217475.0,1041959.0
2025-06-29,1029294.0,970846.0
2025-06-30,809040.0,919741.0
2025-07-01,622348.0,900042.0
2025-07-02,857739.0,874609.0
2025-07-03,1121298.0,865349.0
2025-07-04,1336366.0,959199.0
2025-07-05,1009295.0,998539.0
2025-07-06,737494.0,944783.0
2025-07-07,575246.0,946646.0
2025-07-08,582727.0,947347.0
2025-07-09,818265.0,911090.0
2025-07-10,1251820.0,1025624.0
2025-07-11,1362026.0,1007757.0
2025-07-12,926324.0,920688.0
2025-07-13,574473.0,921140.0
2025-07-14,738812.0,933012.0
2025-07-15,1257731.0,959627.0
2025-07-16,1264672.0,918075.0
2025-07-17,980267.0,918697.0
2025-07-18,1040272.0,960072.0
2025-07-19,1441664.0,961740.0
2025-07-20,1397400.0,952204.0
2025-07-21,1362645.0,984971.0
2025-07-22,1439320.0,1007092.0
2025-07-23,1435061.0,1040612.0
2025-07-24,1168865.0,1046091.0
2025-07-25,749451.0,951521.0
2025-07-26,957249.0,989287.0
2025-07-27,1316376.0,1001332.0
2025-07-28,1180084.0,1064164.0
2025-07-29,922349.0,1042223.0
2025-07-30,787923.0,1017823.0
2025-07-31,894415.0,928010.0
2025-08-01,810257.0,930502.0
2025-08-02,807244.0,950063.0
2025-08-03,962425.0,984148.0
2025-08-04,867547.0,931857.0
2025-08-05,1264133.0,960900.0
2025-08-06,1343489.0,969785.0
2025-08-07,1372946.0,968061.0
2025-08-08,1630470.0,1013203.0
2025-08-09,1403869.0,1001908.0
2025-08-10,1078139.0,941382.0
2025-08-11,719838.0,952229.0
2025-08-12,559051.0,950893.0
2025-08-13,789441.0,938107.0
2025-08-14,1322244.0,957615.0
2025-08-15,1332228.0,961632.0
2025-08-16,1293205.0,946910.0
2025-08-17,1199628.0,954428.0
2025-08-18,853700.0,965649.0
2025-08-19,512387.0,877510.0
2025-08-20,614863.0,880155.0
2025-08-21,546961.0,839277.0
2025-08-22,505056.0,861968.0
2025-08-23,764515.0,818235.0
2025-08-24,780058.0,895610.0
2025-08-25,738483.0,882982.0
2025-08-26,583153.0,855619.0
2025-08-27,775867.0,935721.0
2025-08-28,802533.0,835826.0
2025-08-29,512371.0,866507.0
2025-08-30,483771.0,889166.0
2025-08-31,471824.0,895451.0
2025-09-01,400408.0,950193.0
2025-09-02,423953.0,878723.0
2025-09-03,703759.0,929959.0
2025-09-04,1008793.0,913635.0
2025-09-05,1408796.0,804898.0
2025-09-06,608556.0,751617.0
2025-09-07,689618.0,809722.0
2025-09-08,1239027.0,969172.0
2025-09-09,1067807.0,952385.0
2025-09-10,998786.0,941348.0
2025-09-11,1222082.0,927162.0
2025-09-12,1375032.0,936640.0
2025-09-13,1252128.0,896432.0
2025-09-14,1205520.0,892002.0
2025-09-15,987175.0,924548.0
2025-09-16,867866.0,897360.0
2025-09-17,709613.0,792223.0
2025-09-18,577923.0,710475.0
2025-09-19,588651.0,816981.0
2025-09-20,744767.0,859152.0
2025-09-21,933699.0,769657.0
2025-09-22,920912.0,764540.0
2025-09-23,881574.0,788803.0
2025-09-24,693112.0,663524.0
2025-09-25,497484.0,790716.0
2025-09-26,820927.0,829170.0
2025-09-27,839645.0,800487.0
2025-09-28,804224.0,842778.0
2025-09-29,722400.0,755011.0
2025-09-30,872967.0,779569.0
2025-10-01,1166844.0,887726.0
2025-10-02,967484.0,878218.0
2025-10-03,1271300.0,871737.0
2025-10-04,1750832.0,826810.0
2025-10-05,1666984.0,814478.0
2025-10-06,989473.0,730592.0
2025-10-07,689403.0,691043.0
2025-10-08,779512.0,784602.0
2025-10-09,921862.0,773765.0
2025-10-10,896985.0,672891.0
2025-10-11,1475064.0,704539.0
2025-10-12,1436601.0,725915.0
2025-10-13,1075812.0,683808.0
2025-10-14,998575.0,721693.0
2025-10-15,995348.0,754165.0
2025-10-16,1596104.0,796474.0
2025-10-17,1600691.0,789469.0
2025-10-18,1413139.0,708301.0
2025-10-19,1604500.0,720718.0
2025-10-20,1992869.0,808459.0
2025-10-21,1477993.0,768493.0
2025-10-22,1280621.0,729479.0
2025-10-23,1152115.0,713733.0
2025-10-24,1099673.0,646143.0
2025-10-25,891396.0,558950.0
2025-10-26,1126372.0,581787.0
2025-10-27,1299404.0,604665.0
2025-10-28,1644506.0,518450.0
